BOROUGH,PICKUP_HOUR,FRANJA,AVG_SPEED,TOTAL_TRIPS
Bronx,0,Nocturno,19.25081921,4656
Bronx,1,Nocturno,19.57314239,2555
Bronx,2,Nocturno,19.823151006,1575
Bronx,3,Nocturno,20.580925519,1894
Bronx,4,Nocturno,20.60404036,4818
Bronx,5,Nocturno,18.980343619,8236
Bronx,6,Diurno,16.376143932,15991
Bronx,7,Diurno,13.56728494,20109
Bronx,8,Diurno,12.620889566,18491
Bronx,9,Diurno,13.134053008,14355
Bronx,10,Diurno,13.277262081,11519
Bronx,11,Diurno,12.93246882,11017
Bronx,12,Diurno,12.918168566,10635
Bronx,13,Diurno,12.505048903,10739
Bronx,14,Diurno,11.860206567,10931
Bronx,15,Diurno,11.426240655,9503
Bronx,16,Diurno,11.302562001,7809
Bronx,17,Diurno,11.589327886,7312
Bronx,18,Diurno,13.108474754,6149
Bronx,19,Nocturno,14.754561543,5666
Bronx,20,Nocturno,16.697797852,6500
Bronx,21,Nocturno,17.698623146,6018
Bronx,22,Nocturno,18.513792443,6924
Bronx,23,Nocturno,19.317153395,6984
Brooklyn,0,Nocturno,14.960363985,39933
Brooklyn,1,Nocturno,15.607097381,26104
Brooklyn,2,Nocturno,16.517124104,20589
Brooklyn,3,Nocturno,17.565333078,20121
Brooklyn,4,Nocturno,17.836566864,22751
Brooklyn,5,Nocturno,16.478786755,24101
Brooklyn,6,Diurno,13.893135186,40265
Brooklyn,7,Diurno,11.704932811,59071
Brooklyn,8,Diurno,10.754596685,64893
Brooklyn,9,Diurno,10.775660382,53921
Brooklyn,10,Diurno,10.632797427,44198
Brooklyn,11,Diurno,10.379135396,42041
Brooklyn,12,Diurno,10.400693781,43882
Brooklyn,13,Diurno,10.320171499,42839
Brooklyn,14,Diurno,9.92303067,42770
Brooklyn,15,Diurno,9.531866466,39463
Brooklyn,16,Diurno,9.507613666,32358
Brooklyn,17,Diurno,9.743754524,35999
Brooklyn,18,Diurno,10.463941776,37301
Brooklyn,19,Nocturno,11.238780068,36341
Brooklyn,20,Nocturno,12.81186709,35111
Brooklyn,21,Nocturno,13.53493266,35643
Brooklyn,22,Nocturno,14.027251649,50707
Brooklyn,23,Nocturno,14.547819884,52644
EWR,0,Nocturno,15.719043862,6
EWR,1,Nocturno,16.66189742,2
EWR,2,Nocturno,22.698486209,5
EWR,3,Nocturno,24.668222304,7
EWR,4,Nocturno,25.273297563,15
EWR,5,Nocturno,19.303967283,49
EWR,6,Diurno,21.489545858,48
EWR,7,Diurno,24.156206411,31
EWR,8,Diurno,20.315714335,33
EWR,9,Diurno,20.793103469,33
EWR,10,Diurno,25.673753516,28
EWR,11,Diurno,21.895966294,43
EWR,12,Diurno,20.502855848,85
EWR,13,Diurno,24.62051694,125
EWR,14,Diurno,19.272205161,149
EWR,15,Diurno,19.427420588,200
EWR,16,Diurno,20.664100625,192
EWR,17,Diurno,19.088138931,157
EWR,18,Diurno,21.339600356,156
EWR,19,Nocturno,22.415234067,87
EWR,20,Nocturno,23.929948392,54
EWR,21,Nocturno,23.407501052,31
EWR,22,Nocturno,21.755183936,7
EWR,23,Nocturno,25.020631632,13
Manhattan,0,Nocturno,11.958197735,1396419
Manhattan,1,Nocturno,12.4376669,951055
Manhattan,2,Nocturno,13.074865372,633585
Manhattan,3,Nocturno,14.321486529,408933
Manhattan,4,Nocturno,17.244910368,275080
Manhattan,5,Nocturno,18.020011222,275095
Manhattan,6,Diurno,15.052367289,642611
Manhattan,7,Diurno,12.06698537,1351267
Manhattan,8,Diurno,10.180902132,1939830
Manhattan,9,Diurno,9.738217054,2117459
Manhattan,10,Diurno,9.367401146,2251601
Manhattan,11,Diurno,8.920746374,2469192
Manhattan,12,Diurno,8.767418146,2684236
Manhattan,13,Diurno,8.755420362,2775465
Manhattan,14,Diurno,8.533854183,2934871
Manhattan,15,Diurno,8.32100258,3043262
Manhattan,16,Diurno,8.382394325,3063968
Manhattan,17,Diurno,8.394966698,3455612
Manhattan,18,Diurno,8.746773965,3650065
Manhattan,19,Nocturno,9.401572334,3175960
Manhattan,20,Nocturno,10.16536464,2920182
Manhattan,21,Nocturno,10.572375583,2993199
Manhattan,22,Nocturno,10.841767055,2722888
Manhattan,23,Nocturno,11.34677207,2002951
Queens,0,Nocturno,28.964856359,193047
Queens,1,Nocturno,29.662402611,80970
Queens,2,Nocturno,28.764096649,32184
Queens,3,Nocturno,26.751712168,22064
Queens,4,Nocturno,25.593734644,28997
Queens,5,Nocturno,27.344675055,56616
Queens,6,Diurno,22.908744966,103454
Queens,7,Diurno,19.512491547,141841
Queens,8,Diurno,18.954245982,150190
Queens,9,Diurno,19.950462964,175433
Queens,10,Diurno,19.93695772,208994
Queens,11,Diurno,19.80804484,200533
Queens,12,Diurno,19.991571217,233163
Queens,13,Diurno,19.332959432,268367
Queens,14,Diurno,17.605158734,335940
Queens,15,Diurno,16.945504407,350279
Queens,16,Diurno,17.380601425,362315
Queens,17,Diurno,18.242171006,318235
Queens,18,Diurno,20.429279796,308495
Queens,19,Nocturno,23.245515104,322208
Queens,20,Nocturno,25.549111403,320251
Queens,21,Nocturno,26.893371633,316711
Queens,22,Nocturno,26.863039909,307891
Queens,23,Nocturno,27.385685285,308668
Staten Island,0,Nocturno,29.061955861,97
Staten Island,1,Nocturno,24.480222885,58
Staten Island,2,Nocturno,23.048536328,24
Staten Island,3,Nocturno,27.299338433,26
Staten Island,4,Nocturno,31.228068596,66
Staten Island,5,Nocturno,28.099537358,100
Staten Island,6,Diurno,23.414238207,134
Staten Island,7,Diurno,17.608064203,261
Staten Island,8,Diurno,19.062942871,204
Staten Island,9,Diurno,23.891216954,78
Staten Island,10,Diurno,23.278200148,56
Staten Island,11,Diurno,23.216349195,69
Staten Island,12,Diurno,26.573400107,97
Staten Island,13,Diurno,29.191431581,156
Staten Island,14,Diurno,28.696729033,169
Staten Island,15,Diurno,27.18287143,207
Staten Island,16,Diurno,24.117010673,135
Staten Island,17,Diurno,24.086318133,88
Staten Island,18,Diurno,21.693272885,61
Staten Island,19,Nocturno,25.787475982,58
Staten Island,20,Nocturno,23.372718392,77
Staten Island,21,Nocturno,25.501720337,93
Staten Island,22,Nocturno,25.344857199,112
Staten Island,23,Nocturno,26.266305874,147
